高清4K,#genre#
内蒙古卫视,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000044/index.m3u8?
宁夏卫视,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000047/index.m3u8?
新疆卫视,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000045/index.m3u8?
西藏卫视,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000043/index.m3u8?
兵团卫视,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000059/index.m3u8?
CETV1,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000002000002652/index.m3u8?channel-id=bestzb&Contentid=5000000002000002652&livemode=1&stbId=3
鳳凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
鳳凰資訊,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
鳳凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8
翡翠台4K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
华视新闻,http://37.27.111.214:8080/live/8/hls.m3u8
中天新聞台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
東森新聞,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
亞洲新聞台,http://aktv.top/AKTV/live/aktv3/null-3/AKTV.m3u8
無線衛星新聞台,http://aktv.top/AKTV/live/aktv3/null-2/AKTV.m3u8
电影轮播,#genre# 
国内电影,http://223.105.252.60/PLTV/4/224/3221228693/index.m3u8?servicetype=1
国外电影,http://223.105.252.60/PLTV/4/224/3221228685/index.m3u8?servicetype=1
超级电影,http://[2409:8087:74d9:21::6]:80/270000001128/9900000021/index.m3u8
动作电影,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000004000018653/1.m3u8
动作电影,http://39.135.133.167:80/wh7f454c46tw3123557892_1888684188/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
黑莓电影,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010073/1.m3u8
成龙,http://zby.xjqxz.top/cldy/live.m3u8 
周星驰,http://zby.xjqxz.top/live12/live.m3u8 
李连杰,http://zby.xjqxz.top/lljdy/live.m3u8 
电影轮播1,http://zby.xjqxz.top/live11/live.m3u8 
电影轮播2,http://zby.xjqxz.top/live13/live.m3u8 
电影轮播3,http://zby.xjqxz.top/live7/live.m3u8 
电影轮播4,http://zby.xjqxz.top/live5/live.m3u8 
邵氏影院,http://jiaojirentv.top/2020/dy.php?id=4246519 
华语经典,http://jiaojirentv.top/2020/dy.php?id=434971 
豆瓣高分,http://jiaojirentv.top/2020/dy.php?id=8770422 
华语电影,http://jiaojirentv.top/2020/dy.php?id=3928 
经典相声小品,http://jiaojirentv.top/2020/dy.php?id=9273031 
辽宁台相声小品,http://jiaojirentv.top/2020/dy.php?id=9403712 
